order_id,customer_id,order_date,status,shipping_method,payment_terms,department,shipping_address,shipping_city,shipping_postal_code,expected_delivery
SOa6b85bbb,Cc5d4ef9a,2023-10-21,Abgeschlossen,Economy,Net30,HR,Holstenstraße 9/6,Beeskow,78999,2023-10-27
SOced560dc,C3a861bec,2024-08-02,Abgeschlossen,Standard,Immediate,Produktion,Keudelstr. 404,Tübingen,80401,2024-08-15
SO8c72804c,C6043cf92,2024-11-20,Abgeschlossen,Standard,Net30,HR,Jähnallee 304,Wismar,83018,2024-11-27
SOcf04a429,C659b1429,2023-03-09,Storniert,Economy,Immediate,IT,Tschentscherstr. 92,Bersenbrück,59901,2023-03-17
SOf17a4b46,C73ed6f51,2024-12-09,Abgeschlossen,Express,Net45,Produktion,Henckallee 0,Seelow,67411,2024-12-23
SO92d53b03,C7f1819d2,2023-06-04,In Bearbeitung,Standard,Net30,Einkauf,Adam-Gunpf-Allee 596,Badibling,69652,2023-06-11
SO18e1a407,Cf5ed7b3f,2023-02-12,Abgeschlossen,Express,Immediate,Einkauf,Wesackallee 35,Meiningen,83241,2023-02-17
SO8dbb66c3,Caa20bb87,2024-01-31,In Bearbeitung,Economy,Net30,HR,Lehmanngasse 2,Wanzleben,17135,2024-02-06
SO17d303f2,C5c74d310,2023-08-19,Abgeschlossen,Economy,Net45,HR,Laszlo-Beer-Allee 5/5,Lübz,64486,2023-08-28
SO7de5d9fa,Cfeb0823d,2024-03-23,In Bearbeitung,Standard,Net45,IT,Kramerring 804,Forst,04662,2024-04-01
SO649f96b1,Cd891b141,2024-05-26,Abgeschlossen,Premium,Immediate,Produktion,Hermannweg 87,Feuchtwangen,58642,2024-06-07
SO7884154f,Cc105970a,2023-12-20,In Bearbeitung,Economy,Net30,IT,Reinhardtweg 0/2,Pirmasens,38435,2023-12-23
SOe5917c17,C659b1429,2024-04-24,Neu,Premium,Immediate,IT,Tschentscherstr. 92,Bersenbrück,59901,2024-05-05
SOf1b52e3e,Ca5ca84fd,2024-06-08,Neu,Premium,Net45,Finanzen,Harloffallee 57,Burglengenfeld,56470,2024-06-14
SO2d472997,C73179274,2023-05-31,Abgeschlossen,Premium,Net45,IT,Liebeltplatz 8,Tecklenburg,68517,2023-06-14
SO250f25ac,C1bcb89ea,2023-07-01,Abgeschlossen,Economy,Net60,HR,Drewesgasse 2,Norden,84998,2023-07-04
SO30c8a40a,C3d3a92f2,2023-09-23,Storniert,Standard,Net45,Finanzen,Schulzstraße 5,Mühlhausen,98869,2023-09-27
SO14479fae,Cf02cd960,2023-06-14,In Bearbeitung,Economy,Net45,Finanzen,Geislerstr. 09,Ahaus,57787,2023-06-22
SO392648ad,Ca39b1a71,2023-06-30,In Bearbeitung,Express,Net60,Einkauf,Felicia-Ziegert-Allee 57,Ribnitz-Damgarten,60272,2023-07-05
SOa07ba345,C3f843499,2023-11-06,Abgeschlossen,Premium,Immediate,Finanzen,Siegmar-Dörr-Allee 45,Ingolstadt,72649,2023-11-14
SO67d010cb,C7b948975,2024-09-11,Abgeschlossen,Standard,Net30,Produktion,Sibel-Hethur-Gasse 4/9,Greiz,31480,2024-09-24
SO3d8770d7,Cddb5b335,2023-03-31,Abgeschlossen,Express,Immediate,Produktion,Frieder-Häring-Allee 9,Pfaffenhofen an der Ilm,82691,2023-04-08
SOf7bd1a26,C2591bc00,2024-08-24,Abgeschlossen,Express,Net60,IT,Harloffstr. 84,Fallingbostel,14045,2024-08-28
SOd982d8d5,Cfa474de8,2023-11-03,Neu,Premium,Net30,Einkauf,Gerti-Hornig-Ring 20,Artern,32059,2023-11-17
SOd6c9306f,C275f50b1,2024-12-22,Abgeschlossen,Economy,Net30,Vertrieb,Dörschnerplatz 3/1,Germersheim,68843,2025-01-05
SO9b3327db,C99bf0109,2023-09-29,Abgeschlossen,Economy,Net30,IT,Dolores-Fiebig-Straße 572,Schwarzenberg,39271,2023-10-13
SOec698dc3,Cf6f02706,2023-02-02,Abgeschlossen,Economy,Net30,HR,Monja-Linke-Platz 9/4,Jena,23885,2023-02-09
SO1db18bc8,C96c2fc47,2024-09-09,Abgeschlossen,Standard,Net45,Finanzen,Dietzallee 6/8,Roding,15331,2024-09-15
SO5204b7f4,Ca39b1a71,2023-03-14,Abgeschlossen,Standard,Net60,Einkauf,Felicia-Ziegert-Allee 57,Ribnitz-Damgarten,60272,2023-03-28
SOd69d1043,C75f9d5e2,2023-06-04,Abgeschlossen,Premium,Net45,IT,Catrin-Stolze-Weg 2,Naila,97646,2023-06-10
SO13221c30,C88e85c67,2024-01-17,In Bearbeitung,Premium,Immediate,HR,Denny-Stiffel-Allee 4,Ahaus,19799,2024-01-23
SO8c151615,C5bd787f1,2023-10-16,Abgeschlossen,Express,Net30,Einkauf,Heinz-Gerd-Mangold-Allee 62,Hannover,61654,2023-10-26
SOdc4250cd,C3cc6e59d,2024-07-07,Storniert,Economy,Net45,IT,Fred-Scheuermann-Weg 711,Böblingen,55971,2024-07-14
SO199d3e37,C0cb40719,2024-05-24,Abgeschlossen,Premium,Immediate,IT,Heide-Henschel-Weg 24,Eichstätt,70502,2024-05-28
SOd20b2be1,C8a588552,2023-01-30,Abgeschlossen,Economy,Net30,Finanzen,Frankering 9,Berlin,33535,2023-02-09
SOdba3bcf2,C8b18ddea,2024-12-22,Abgeschlossen,Economy,Net60,Produktion,Liliana-Baum-Straße 5,Flöha,20515,2024-12-25
SOd1f75737,C36a19778,2023-11-11,Abgeschlossen,Economy,Net30,Finanzen,Pohlring 4,Hohenstein-Ernstthal,09494,2023-11-23
SO2a106be9,Cc637d361,2023-05-22,Storniert,Express,Immediate,Finanzen,Dehmelplatz 148,Groß-Gerau,49880,2023-06-04
SO985ac181,C846484d1,2024-10-26,Abgeschlossen,Standard,Net60,Vertrieb,Ortwin-Weiß-Gasse 690,Viersen,33241,2024-10-30
SOff573bdd,C7fd098ba,2024-09-04,Abgeschlossen,Premium,Net30,Finanzen,Zobelstr. 2,Tübingen,50946,2024-09-17
SOf7fc00c4,C33fee75a,2024-12-01,Abgeschlossen,Standard,Net60,Vertrieb,Suse-Trommler-Straße 57,Stollberg,55341,2024-12-15
SO6bf8c7b7,C846484d1,2023-10-13,Abgeschlossen,Economy,Net60,Vertrieb,Ortwin-Weiß-Gasse 690,Viersen,33241,2023-10-21
SOc6914388,C659b1429,2024-11-21,Abgeschlossen,Premium,Immediate,IT,Tschentscherstr. 92,Bersenbrück,59901,2024-11-28
SO61230ba1,C3efad3f9,2024-11-04,Abgeschlossen,Express,Net45,Einkauf,Schmidtkering 07,Bruchsal,20345,2024-11-15
SO568979b7,Ca0780042,2023-10-18,Storniert,Standard,Net45,Einkauf,Knappeplatz 21,Crailsheim,42877,2023-10-21
SOb4ea1861,Ca0780042,2023-04-10,Abgeschlossen,Premium,Net45,Einkauf,Knappeplatz 21,Crailsheim,42877,2023-04-16
SO7f6e6622,C13afda51,2024-07-21,Abgeschlossen,Premium,Immediate,Finanzen,Stadelmannring 7/5,Luckenwalde,04063,2024-07-27
SO0fd3218f,Ce38cd301,2024-06-22,Abgeschlossen,Economy,Net30,Einkauf,Hornichstraße 655,Garmisch-Partenkirchen,92425,2024-06-28
SO64ca0b65,C275f50b1,2023-01-12,Abgeschlossen,Economy,Net30,Vertrieb,Dörschnerplatz 3/1,Germersheim,68843,2023-01-21
SO8b60b7ef,C8b18ddea,2024-09-29,Abgeschlossen,Standard,Net60,Produktion,Liliana-Baum-Straße 5,Flöha,20515,2024-10-08
SO9127481d,Cca4b662a,2023-12-11,Storniert,Premium,Immediate,Vertrieb,Sabrina-Rust-Straße 83,Gifhorn,77427,2023-12-23
SOf80a1abb,C84226691,2023-04-28,Abgeschlossen,Economy,Immediate,Finanzen,Fritschring 9,Rostock,88870,2023-05-02
SOf1fedb84,Cc755aa91,2024-04-28,Neu,Premium,Net45,Vertrieb,Jacob-Anders-Straße 29,Reutlingen,91832,2024-05-07
SO24a8483d,C4fe20e66,2024-11-07,Abgeschlossen,Express,Net30,Vertrieb,Hettnerweg 79,Lübben,11491,2024-11-13
SO49d3e57c,C2591bc00,2024-09-19,Abgeschlossen,Express,Net60,IT,Harloffstr. 84,Fallingbostel,14045,2024-10-03
SOcbe6c0ff,C6e1dd11f,2023-12-24,Abgeschlossen,Express,Net45,IT,Mansgasse 8/3,Mayen,96366,2023-12-30
SO025810b3,C9a904d0d,2024-03-04,Abgeschlossen,Economy,Immediate,Einkauf,Elly-Reising-Weg 62,Emmendingen,60774,2024-03-17
SOd3bfc0fa,Cca6a5fc0,2023-01-19,Neu,Premium,Net30,Vertrieb,Scheibestr. 760,Strasburg,71626,2023-01-29
SOdc276aae,Ca42b06d3,2024-02-27,Storniert,Premium,Immediate,Vertrieb,Klappring 8,Wurzen,36907,2024-03-10
SOd9508c1e,Cdd38e6d1,2024-08-14,Abgeschlossen,Standard,Net45,Vertrieb,Hölzenbecherstraße 979,Gera,33658,2024-08-22
SOafcaa0f0,C96c2fc47,2023-05-07,In Bearbeitung,Economy,Net45,Finanzen,Dietzallee 6/8,Roding,15331,2023-05-19
SOcb8dfa19,C75f9d5e2,2023-06-16,Abgeschlossen,Standard,Net45,IT,Catrin-Stolze-Weg 2,Naila,97646,2023-06-26
SO90d52d3c,C33fee75a,2024-02-09,Abgeschlossen,Economy,Net60,Vertrieb,Suse-Trommler-Straße 57,Stollberg,55341,2024-02-21
SO3a8c5b0e,Cf02cd960,2024-05-14,In Bearbeitung,Premium,Net45,Finanzen,Geislerstr. 09,Ahaus,57787,2024-05-25
SO2bdd722a,C791dd684,2024-03-05,Abgeschlossen,Premium,Immediate,IT,Ruthild-Trommler-Platz 271,Chemnitz,36295,2024-03-11
SO328c1049,Cda8e4736,2024-11-26,Abgeschlossen,Economy,Immediate,Vertrieb,Mirjam-Aumann-Allee 97,Oberviechtach,56295,2024-12-07
SOd9df351c,Ce17b4857,2023-12-20,Neu,Economy,Immediate,Produktion,Gudegasse 35,Gerolzhofen,28992,2023-12-24
SOe48cc1ad,Cf2dabd90,2024-02-21,Neu,Economy,Net30,IT,Roselinde-Hoffmann-Gasse 2,Bogen,37255,2024-02-26
SObbf09516,C3f843499,2024-10-26,In Bearbeitung,Premium,Immediate,Finanzen,Siegmar-Dörr-Allee 45,Ingolstadt,72649,2024-11-08
SO323c13a1,Cc4b33ba9,2023-12-12,In Bearbeitung,Express,Net45,Einkauf,Maria-Loos-Ring 39,Osterburg,62204,2023-12-21
SO73a305a7,C090d6a5d,2023-01-27,Neu,Express,Net30,Produktion,Södingstr. 6/9,Aschaffenburg,43476,2023-02-04
SO45271cd8,C14fe74cd,2023-11-03,Abgeschlossen,Express,Net60,HR,Carlos-Hettner-Gasse 679,Gerolzhofen,87323,2023-11-12
SO9699f686,Cdd38e6d1,2024-05-07,Abgeschlossen,Economy,Net45,Vertrieb,Hölzenbecherstraße 979,Gera,33658,2024-05-20
SO1fc89829,C9694b874,2024-01-21,Neu,Premium,Immediate,HR,Weinhagegasse 2/7,Holzminden,70215,2024-01-29
SO2de5f58d,C12ba5ea5,2023-05-01,Abgeschlossen,Express,Net45,Produktion,Ralf-Weinhold-Weg 860,Gunzenhausen,32754,2023-05-10
SO8b09dbd1,Caa20bb87,2024-02-14,Neu,Standard,Net30,HR,Lehmanngasse 2,Wanzleben,17135,2024-02-26
SO3a499073,C12619206,2023-04-28,In Bearbeitung,Standard,Net45,Produktion,Gudering 020,Riesa,15654,2023-05-11
SO65b9987b,Cf3039fb6,2024-01-05,Neu,Standard,Net45,Produktion,Dehmelgasse 8,Tübingen,62313,2024-01-08
SOed65509c,C92a82ca8,2023-11-26,Storniert,Standard,Net60,IT,Hendrik-Faust-Ring 3/0,Prenzlau,08665,2023-12-09
SO3f507482,C414c6e9c,2023-11-06,Abgeschlossen,Premium,Net60,HR,Jacqueline-Albers-Ring 1,Bremervörde,94877,2023-11-12
SOb83eae8d,C3275bcae,2023-09-10,Abgeschlossen,Standard,Net45,Einkauf,Rennerstr. 1/2,Herford,92356,2023-09-19
SO8305a6cc,C1e3f9dc2,2024-09-13,In Bearbeitung,Premium,Immediate,HR,Schinkeplatz 6,Erbisdorf,56716,2024-09-19
SO937dd2f0,,2024-07-23,Abgeschlossen,Economy,Net45,Produktion,,,,2024-07-28
SO8cb23f9c,Cf2dabd90,2023-11-19,Abgeschlossen,Express,Net30,IT,Roselinde-Hoffmann-Gasse 2,Bogen,37255,2023-11-23
